1291840,走出非洲 Out of Africa,1985,8.5,59408,剧情/爱情/传记/冒险,美国
1291841,教父 The Godfather,1972,9.2,476906,剧情/犯罪,美国
1291842,当哈利遇到莎莉 When Harry Met Sally...,1989,8.3,97853,剧情/喜剧/爱情,美国
1291843,黑客帝国 The Matrix,1999,8.9,385738,动作/科幻,美国/澳大利亚
1291844,终结者2：审判日 Terminator 2: Judgment Day,1991,8.6,178761,动作/科幻,美国/法国
1291845,萨尔瓦多 Salvador,1986,8.1,976,剧情/惊悚/传记/战争,英国/美国
1291846,大门 The Doors,1991,8,7131,剧情/音乐/传记,美国
1291847,十七岁的单车,2001,7.8,88308,剧情,中国大陆/台湾/法国
1291850,站台,2000,8.3,38385,剧情/历史,中国大陆/香港/日本/法国
1291851,小武,1998,8.3,69398,剧情,香港/中国大陆
1291852,弗里达 Frida,2002,8.7,35440,剧情/爱情/传记,美国/墨西哥/加拿大
1291853,英国病人 The English Patient,1996,8.5,200137,剧情/爱情/战争,美国/英国
1291854,挪威野玫瑰 37 og et halvt,2005,8.4,472,剧情/喜剧,挪威
1291856,戏梦巴黎 The Dreamers,2003,8,101401,剧情/爱情/情色,法国/英国/意大利
1291858,鬼子来了,2000,9.2,322169,剧情/历史/战争,中国大陆
1291859,布拉格之恋 The Unbearable Lightness of Being,1988,8.1,51736,剧情/爱情,美国
1291860,瓦尔特保卫萨拉热窝 Валтер брани Сара?ево,1972,8.7,9754,战争,南斯拉夫
1291861,人证 人間の証明,1977,8.1,6409,剧情/犯罪,日本/美国
1291862,绝唱 絶唱,1975,7.8,2021,剧情/爱情,日本
1291863,追捕 君よ憤怒の河を渉れ,1976,8.2,19198,剧情/动作/犯罪,日本
1291864,天云山传奇,1980,7.8,3152,剧情,中国大陆
1291865,流浪者 Awaara,1951,8.4,3191,剧情/爱情/歌舞,印度
1291866,佐罗 Zorro,1975,8,11493,喜剧/动作/西部/冒险,法国/意大利
1291867,暴劫梨花 The Accused,1988,7.9,3989,剧情/犯罪,加拿大/美国
1291868,情人 L'amant,1992,8.1,122709,剧情/爱情/情色/传记,法国/英国/越南
1291869,本能 Basic Instinct,1992,7.7,102841,爱情/悬疑/惊悚/情色,美国/法国
1291870,雨人 Rain Man,1988,8.7,248006,剧情,美国
1291871,豹人 Cat people,1982,6.6,1484,剧情/爱情/惊悚/恐怖/奇幻,美国
1291872,苔丝 Tess,1979,8.1,17594,剧情/爱情,法国/英国
1291874,乞力马扎罗的雪 The Snows of Kilimanjaro,1952,7.7,1917,剧情/爱情/冒险,美国
1291875,阳光灿烂的日子,1994,8.8,348236,剧情,中国大陆/香港
1291876,黄土地,1985,7.8,16303,剧情/音乐,中国大陆
1291877,两生花 La double vie de Véronique,1991,8.3,57700,剧情/爱情/奇幻,法国/波兰/挪威
